"","license_class","trips_per_day","farebox_per_day","unique_drivers","unique_vehicles","vehicles_per_day","avg_days_vehicles_on_road","avg_hours_per_day_per_vehicle","avg_days_drivers_on_road","avg_hours_per_day_per_driver","avg_minutes_per_trip","percent_of_trips_paid_with_credit_card","trips_per_day_shared","month_year","month_year1","trips_per_month","month_date","farebox_per_month","week","trips_per_week","year","farebox_per_week","total_trips_per_day","shared_trips_per_day_percent"
"200","FHV - High Volume",163178,NA,30119,28845,18141,18.9,5.7,18.4,5.6,0,NA,NA,"2015-11",Nov 2015,4895340,2015-11-28,NA,"47",1142246,"2015",NA,NA,NA
"201","FHV - High Volume",163168,NA,29151,28002,17701,19.6,5.8,19.1,5.7,0,NA,NA,"2015-10",Oct 2015,5058208,2015-10-28,NA,"43",1142176,"2015",NA,NA,NA
"202","FHV - High Volume",144300,NA,26914,26050,15814,18.2,5.8,17.8,5.7,0,NA,NA,"2015-09",Sep 2015,4329000,2015-09-28,NA,"39",1010100,"2015",NA,NA,NA
"203","FHV - High Volume",123807,NA,25085,24452,14485,18.4,5.6,18,5.5,0,NA,NA,"2015-08",Aug 2015,3838017,2015-08-28,NA,"34",866649,"2015",NA,NA,NA
"204","FHV - High Volume",112207,NA,22070,22646,13358,18.3,5.5,17.5,5.4,0,NA,NA,"2015-07",Jul 2015,3478417,2015-07-28,NA,"30",785449,"2015",NA,NA,NA
"205","FHV - High Volume",102793,NA,20452,19840,12089,18.3,5.6,17.9,5.5,0,NA,NA,"2015-06",Jun 2015,3083790,2015-06-28,NA,"25",719551,"2015",NA,NA,NA
"206","FHV - High Volume",94103,NA,19076,14122,8120,17.8,5.4,18,5.6,0,NA,NA,"2015-05",May 2015,2917193,2015-05-28,NA,"21",658721,"2015",NA,NA,NA
"207","FHV - High Volume",82498,NA,16473,16006,9711,18.2,5.6,17.8,5.5,0,NA,NA,"2015-04",Apr 2015,2474940,2015-04-28,NA,"17",577486,"2015",NA,NA,NA
"208","FHV - High Volume",72889,NA,14995,14290,8579,18.6,5.5,18.2,5.5,0,NA,NA,"2015-03",Mar 2015,2259559,2015-03-28,NA,"12",510223,"2015",NA,NA,NA
"209","FHV - High Volume",77796,NA,14180,13531,8402,17.4,5.8,17.1,5.8,0,NA,NA,"2015-02",Feb 2015,2178288,2015-02-28,NA,"08",544572,"2015",NA,NA,NA
"210","FHV - High Volume",60357,NA,13153,12544,7265,18,5.4,17.6,5.3,0,NA,NA,"2015-01",Jan 2015,1871067,2015-01-28,NA,"04",422499,"2015",NA,NA,NA
"211","FHV - Livery",22141,NA,5962,5735,3443,18,4.8,17.7,4.7,20,NA,NA,"2023-09",Sep 2023,664230,2023-09-28,NA,"39",154987,"2023",NA,NA,NA
"212","FHV - Livery",23915,NA,6283,6098,3736,19,4.8,18.9,4.7,19,NA,NA,"2023-08",Aug 2023,741365,2023-08-28,NA,"35",167405,"2023",NA,NA,NA
"213","FHV - Livery",25744,NA,6750,6558,3993,18.9,4.8,18.8,4.7,19,NA,NA,"2023-07",Jul 2023,798064,2023-07-28,NA,"30",180208,"2023",NA,NA,NA
"214","FHV - Livery",22559,NA,5520,5320,3359,18.9,5,18.8,4.8,20,NA,NA,"2023-06",Jun 2023,676770,2023-06-28,NA,"26",157913,"2023",NA,NA,NA
"215","FHV - Livery",22406,NA,5601,5361,3367,19.5,4.9,19.1,4.8,20,NA,NA,"2023-05",May 2023,694586,2023-05-28,NA,"21",156842,"2023",NA,NA,NA
"216","FHV - Livery",20791,NA,5453,5262,3159,18,4.9,17.8,4.8,20,NA,NA,"2023-04",Apr 2023,623730,2023-04-28,NA,"17",145537,"2023",NA,NA,NA
"217","FHV - Livery",20960,NA,4984,4797,3038,19.6,5.1,19.4,5,20,NA,NA,"2023-03",Mar 2023,649760,2023-03-28,NA,"13",146720,"2023",NA,NA,NA
"218","FHV - Livery",19739,NA,4854,4670,2970,17.8,5,17.5,4.9,19,NA,NA,"2023-02",Feb 2023,552692,2023-02-28,NA,"09",138173,"2023",NA,NA,NA
"219","FHV - Livery",19638,NA,4913,4747,2878,18.8,4.9,18.5,4.8,18,NA,NA,"2023-01",Jan 2023,608778,2023-01-28,NA,"04",137466,"2023",NA,NA,NA
"220","FHV - Livery",20097,NA,4376,4204,2793,20.6,5.1,20.2,5,19,NA,NA,"2022-12",Dec 2022,623007,2022-12-28,NA,"52",140679,"2022",NA,NA,NA
"221","FHV - Livery",19089,NA,4506,4328,2852,19.8,5,19.4,4.9,21,NA,NA,"2022-11",Nov 2022,572670,2022-11-28,NA,"48",133623,"2022",NA,NA,NA
"222","FHV - Livery",19930,NA,4530,4328,2906,20.8,5,20.4,4.9,20,NA,NA,"2022-10",Oct 2022,617830,2022-10-28,NA,"43",139510,"2022",NA,NA,NA
"223","FHV - Livery",21664,NA,4664,4492,3020,20.2,5.1,19.8,5,21,NA,NA,"2022-09",Sep 2022,649920,2022-09-28,NA,"39",151648,"2022",NA,NA,NA
"224","FHV - Livery",21030,NA,4674,4524,2958,20.3,5.1,20,5,19,NA,NA,"2022-08",Aug 2022,651930,2022-08-28,NA,"34",147210,"2022",NA,NA,NA
"225","FHV - Livery",20553,NA,4718,4562,2890,19.6,5.1,19.4,5,19,NA,NA,"2022-07",Jul 2022,637143,2022-07-28,NA,"30",143871,"2022",NA,NA,NA
"226","FHV - Livery",21855,NA,4646,4505,3037,20.2,5.2,20,5.1,20,NA,NA,"2022-06",Jun 2022,655650,2022-06-28,NA,"26",152985,"2022",NA,NA,NA
"227","FHV - Livery",22631,NA,4807,4627,3098,20.8,5.1,20.4,5,20,NA,NA,"2022-05",May 2022,701561,2022-05-28,NA,"21",158417,"2022",NA,NA,NA
"228","FHV - Livery",24329,NA,5056,4877,3299,20.3,5.2,20,5.1,19,NA,NA,"2022-04",Apr 2022,729870,2022-04-28,NA,"17",170303,"2022",NA,NA,NA
"229","FHV - Livery",26269,NA,5355,5186,3495,20.9,5.3,20.7,5.2,18,NA,NA,"2022-03",Mar 2022,814339,2022-03-28,NA,"13",183883,"2022",NA,NA,NA
"230","FHV - Livery",26237,NA,5453,5299,3548,18.8,5.2,18.6,5.1,18,NA,NA,"2022-02",Feb 2022,734636,2022-02-28,NA,"09",183659,"2022",NA,NA,NA
"231","FHV - Livery",22633,NA,5581,5470,3192,18.1,5,18,4.9,16,NA,NA,"2022-01",Jan 2022,701623,2022-01-28,NA,"04",158431,"2022",NA,NA,NA
"232","FHV - Livery",26315,NA,5556,5382,3566,20.5,5.1,20.2,5.1,18,NA,NA,"2021-12",Dec 2021,815765,2021-12-28,NA,"52",184205,"2021",NA,NA,NA
"233","FHV - Livery",26927,NA,5595,5431,3534,19.5,5,19.3,4.9,20,NA,NA,"2021-11",Nov 2021,807810,2021-11-28,NA,"47",188489,"2021",NA,NA,NA
"234","FHV - Livery",26619,NA,5664,5465,3482,19.8,5,19.5,5,20,NA,NA,"2021-10",Oct 2021,825189,2021-10-28,NA,"43",186333,"2021",NA,NA,NA
"235","FHV - Livery",25476,NA,5584,5441,3374,18.6,5,18.4,4.9,20,NA,NA,"2021-09",Sep 2021,764280,2021-09-28,NA,"39",178332,"2021",NA,NA,NA
"236","FHV - Livery",28195,NA,5457,5349,3376,19.6,5.2,19.5,5.2,19,NA,NA,"2021-08",Aug 2021,874045,2021-08-28,NA,"34",197365,"2021",NA,NA,NA
"237","FHV - Livery",29022,NA,5599,5491,3491,19.7,5.2,19.6,5.1,18,NA,NA,"2021-07",Jul 2021,899682,2021-07-28,NA,"30",203154,"2021",NA,NA,NA
"238","FHV - Livery",29578,NA,6037,5921,3741,19,5,18.8,5,19,NA,NA,"2021-06",Jun 2021,887340,2021-06-28,NA,"26",207046,"2021",NA,NA,NA
"239","FHV - Livery",28073,NA,5380,5292,3384,19.8,5.2,19.8,5.2,18,NA,NA,"2021-05",May 2021,870263,2021-05-28,NA,"21",196511,"2021",NA,NA,NA
"240","FHV - Livery",28912,NA,5484,5359,3435,19.2,5.3,19.1,5.2,18,NA,NA,"2021-04",Apr 2021,867360,2021-04-28,NA,"17",202384,"2021",NA,NA,NA
"241","FHV - Livery",29605,NA,5498,5389,3506,20.2,5.4,20.1,5.3,17,NA,NA,"2021-03",Mar 2021,917755,2021-03-28,NA,"12",207235,"2021",NA,NA,NA
"242","FHV - Livery",25292,NA,5128,5041,3069,17.1,5.3,17,5.2,17,NA,NA,"2021-02",Feb 2021,708176,2021-02-28,NA,"08",177044,"2021",NA,NA,NA
"243","FHV - Livery",25157,NA,5384,5287,3256,19.1,5.1,19,5.1,15,NA,NA,"2021-01",Jan 2021,779867,2021-01-28,NA,"04",176099,"2021",NA,NA,NA
"244","FHV - Livery",24857,NA,5597,5489,3354,18.9,5,18.8,5,16,NA,NA,"2020-12",Dec 2020,770567,2020-12-28,NA,"52",173999,"2020",NA,NA,NA
"245","FHV - Livery",25639,NA,5568,5486,3482,19,5,19,4.9,16,NA,NA,"2020-11",Nov 2020,769170,2020-11-28,NA,"47",179473,"2020",NA,NA,NA
"246","FHV - Livery",27559,NA,5891,5766,3636,19.6,5.1,19.5,5,17,NA,NA,"2020-10",Oct 2020,854329,2020-10-28,NA,"43",192913,"2020",NA,NA,NA
"247","FHV - Livery",26230,NA,5478,5350,3427,19.2,5.1,19,5.1,17,NA,NA,"2020-09",Sep 2020,786900,2020-09-28,NA,"39",183610,"2020",NA,NA,NA
"248","FHV - Livery",25507,NA,5405,5291,3263,19.1,5.2,19,5.1,17,NA,NA,"2020-08",Aug 2020,790717,2020-08-28,NA,"34",178549,"2020",NA,NA,NA
"249","FHV - Livery",23110,NA,4473,4318,2760,19.8,5.5,19.4,5.4,17,NA,NA,"2020-07",Jul 2020,716410,2020-07-28,NA,"30",161770,"2020",NA,NA,NA
"250","FHV - Livery",22723,NA,4250,4192,2770,19.8,5.3,19.8,5.3,16,NA,NA,"2020-06",Jun 2020,681690,2020-06-28,NA,"25",159061,"2020",NA,NA,NA
"251","FHV - Livery",17042,NA,3874,3838,2329,18.8,4.9,18.9,4.9,14,NA,NA,"2020-05",May 2020,528302,2020-05-28,NA,"21",119294,"2020",NA,NA,NA
"252","FHV - Livery",10719,NA,2816,2794,1447,15.5,5.1,15.6,5,13,NA,NA,"2020-04",Apr 2020,321570,2020-04-28,NA,"17",75033,"2020",NA,NA,NA
"253","FHV - Livery",25153,NA,7553,7315,3689,15.6,5,15.4,4.9,16,NA,NA,"2020-03",Mar 2020,779743,2020-03-28,NA,"12",176071,"2020",NA,NA,NA
"254","FHV - Livery",34822,NA,7227,6969,4864,20.2,5.3,19.9,5.2,17,NA,NA,"2020-02",Feb 2020,1009838,2020-02-28,NA,"08",243754,"2020",NA,NA,NA
"255","FHV - Livery",37306,NA,8116,7861,5249,20.7,5.2,20.4,5.1,17,NA,NA,"2020-01",Jan 2020,1156486,2020-01-28,NA,"04",261142,"2020",NA,NA,NA
"256","FHV - Livery",41272,NA,8297,8049,5544,21.4,5.3,21.1,5.2,18,NA,NA,"2019-12",Dec 2019,1279432,2019-12-28,NA,"51",288904,"2019",NA,NA,NA
"257","FHV - Livery",35889,NA,7524,7293,5086,20.9,5.2,20.7,5.1,18,NA,NA,"2019-11",Nov 2019,1076670,2019-11-28,NA,"47",251223,"2019",NA,NA,NA
"258","FHV - Livery",38855,NA,8217,7920,5503,21.5,5.2,21.2,5.1,18,NA,NA,"2019-10",Oct 2019,1204505,2019-10-28,NA,"43",271985,"2019",NA,NA,NA
"259","FHV - Livery",19312,NA,4183,3979,2633,19.9,5.3,19.2,5.2,21,NA,NA,"2019-09",Sep 2019,579360,2019-09-28,NA,"38",135184,"2019",NA,NA,NA
"260","FHV - Livery",38815,NA,8104,7824,5441,21.6,5.3,21.3,5.2,18,NA,NA,"2019-08",Aug 2019,1203265,2019-08-28,NA,"34",271705,"2019",NA,NA,NA
"261","FHV - Livery",41492,NA,8474,8150,5682,21.6,5.3,21.3,5.2,18,NA,NA,"2019-07",Jul 2019,1286252,2019-07-28,NA,"29",290444,"2019",NA,NA,NA
"262","FHV - Livery",43938,NA,8569,8224,5856,21.4,5.4,21.1,5.3,18,NA,NA,"2019-06",Jun 2019,1318140,2019-06-28,NA,"25",307566,"2019",NA,NA,NA
"263","FHV - Livery",44781,NA,8581,8228,5868,22.1,5.5,21.7,5.3,17,NA,NA,"2019-05",May 2019,1388211,2019-05-28,NA,"21",313467,"2019",NA,NA,NA
"264","FHV - Livery",44846,NA,8469,8175,5844,21.4,5.5,21.1,5.4,17,NA,NA,"2019-04",Apr 2019,1345380,2019-04-28,NA,"16",313922,"2019",NA,NA,NA
"265","FHV - Livery",32099,NA,8216,7918,4737,18.5,4.9,18.3,4.8,17,NA,NA,"2019-03",Mar 2019,995069,2019-03-28,NA,"12",224693,"2019",NA,NA,NA
"266","FHV - Livery",44638,NA,8776,8440,5992,19.9,5.4,19.6,5.3,17,NA,NA,"2019-02",Feb 2019,1249864,2019-02-28,NA,"08",312466,"2019",NA,NA,NA
"267","FHV - Livery",41974,NA,8717,8368,5834,21.6,5.3,21.1,5.2,17,NA,30,"2019-01",Jan 2019,1301194,2019-01-28,NA,"04",293818,"2019",NA,42004,0
"268","FHV - Livery",48951,NA,9682,9247,6460,21.7,5.5,21.2,5.3,18,NA,35,"2018-12",Dec 2018,1517481,2018-12-28,NA,"52",342657,"2018",NA,48986,0
"269","FHV - Livery",47205,NA,9584,9195,6464,21.1,5.4,20.7,5.2,18,NA,36,"2018-11",Nov 2018,1416150,2018-11-28,NA,"48",330435,"2018",NA,47241,0
"270","FHV - Livery",44990,NA,9558,9182,6382,21.5,5.3,21.2,5.2,19,NA,34,"2018-10",Oct 2018,1394690,2018-10-28,NA,"43",314930,"2018",NA,45024,0
"271","FHV - Livery",42058,NA,8697,8414,5823,20.8,5.3,20.4,5.2,18,NA,35,"2018-09",Sep 2018,1261740,2018-09-28,NA,"39",294406,"2018",NA,42093,0
"272","FHV - Livery",46411,NA,9603,9321,6418,21.3,5.3,21,5.2,18,NA,15,"2018-08",Aug 2018,1438741,2018-08-28,NA,"35",324877,"2018",NA,46426,0
"273","FHV - Livery",44963,NA,9649,9396,6378,21,5.3,20.8,5.2,18,NA,18,"2018-07",Jul 2018,1393853,2018-07-28,NA,"30",314741,"2018",NA,44981,0
"274","FHV - Livery",55453,NA,10655,10332,7357,21.4,5.5,21.1,5.3,18,NA,18,"2018-06",Jun 2018,1663590,2018-06-28,NA,"26",388171,"2018",NA,55471,0
"275","FHV - Livery",55083,NA,10697,10368,7298,21.8,5.4,21.6,5.3,19,NA,15,"2018-05",May 2018,1707573,2018-05-28,NA,"22",385581,"2018",NA,55098,0
"276","FHV - Livery",57501,NA,11472,11106,7768,21,5.4,20.8,5.3,19,NA,14,"2018-04",Apr 2018,1725030,2018-04-28,NA,"17",402507,"2018",NA,57515,0
"277","FHV - Livery",58458,NA,11687,11313,7795,21.4,5.4,21.1,5.3,19,NA,12,"2018-03",Mar 2018,1812198,2018-03-28,NA,"13",409206,"2018",NA,58470,0
"278","FHV - Livery",58545,NA,12653,12055,8242,19.1,5.3,18.6,5.2,18,NA,19,"2018-02",Feb 2018,1639260,2018-02-28,NA,"09",409815,"2018",NA,58564,0
"279","FHV - Livery",62222,NA,13961,12751,8389,20.4,5.4,19,5.3,17,NA,15,"2018-01",Jan 2018,1928882,2018-01-28,NA,"04",435554,"2018",NA,62237,0
"280","FHV - Livery",64462,NA,13592,12966,8994,21.5,5.3,21,5.2,18,NA,12,"2017-12",Dec 2017,1998322,2017-12-28,NA,"52",451234,"2017",NA,64474,0
"281","FHV - Livery",59254,NA,13304,12807,8986,21.1,5.1,20.8,4.9,18,NA,16,"2017-11",Nov 2017,1777620,2017-11-28,NA,"48",414778,"2017",NA,59270,0
"282","FHV - Livery",59234,NA,13833,13335,9231,21.5,5,21.2,4.9,18,NA,NA,"2017-10",Oct 2017,1836254,2017-10-28,NA,"43",414638,"2017",NA,NA,NA
"283","FHV - Livery",59436,NA,14306,13795,9339,20.3,4.9,20,4.8,18,NA,12,"2017-09",Sep 2017,1783080,2017-09-28,NA,"39",416052,"2017",NA,59448,0
"284","FHV - Livery",59142,NA,14398,13907,9263,20.7,4.9,20.4,4.8,18,NA,6,"2017-08",Aug 2017,1833402,2017-08-28,NA,"35",413994,"2017",NA,59148,0
"285","FHV - Livery",59805,NA,14658,14069,9283,20.5,4.9,20.1,4.8,18,NA,13,"2017-07",Jul 2017,1853955,2017-07-28,NA,"30",418635,"2017",NA,59818,0
"286","FHV - Livery",64389,NA,15171,14250,9525,20.1,5.1,19.4,5,19,NA,12,"2017-06",Jun 2017,1931670,2017-06-28,NA,"26",450723,"2017",NA,64401,0
"287","FHV - Livery",77985,NA,14892,14323,10396,22.5,5.4,22.2,5.3,0,NA,NA,"2017-05",May 2017,2417535,2017-05-28,NA,"21",545895,"2017",NA,NA,NA
"288","FHV - Livery",81326,NA,15386,14469,10373,21.5,5.6,20.9,5.4,0,NA,NA,"2017-04",Apr 2017,2439780,2017-04-28,NA,"17",569282,"2017",NA,NA,NA
"289","FHV - Livery",85721,NA,15711,14884,10446,21.8,5.7,21.3,5.5,0,NA,NA,"2017-03",Mar 2017,2657351,2017-03-28,NA,"13",600047,"2017",NA,NA,NA
"290","FHV - Livery",81985,NA,15605,14975,10746,20.1,5.5,19.8,5.4,0,NA,NA,"2017-02",Feb 2017,2295580,2017-02-28,NA,"09",573895,"2017",NA,NA,NA
"291","FHV - Livery",79624,NA,15299,14680,10335,21.8,5.6,21.3,5.4,0,NA,NA,"2017-01",Jan 2017,2468344,2017-01-28,NA,"04",557368,"2017",NA,NA,NA
"292","FHV - Livery",84307,NA,15164,14427,10525,22.6,5.6,22.1,5.5,0,NA,NA,"2016-12",Dec 2016,2613517,2016-12-28,NA,"52",590149,"2016",NA,NA,NA
"293","FHV - Livery",80717,NA,15223,14489,10571,21.9,5.5,21.5,5.3,0,NA,NA,"2016-11",Nov 2016,2421510,2016-11-28,NA,"48",565019,"2016",NA,NA,NA
"294","FHV - Livery",81340,NA,15530,14880,10729,22.4,5.5,22,5.3,0,NA,NA,"2016-10",Oct 2016,2521540,2016-10-28,NA,"43",569380,"2016",NA,NA,NA
"295","FHV - Livery",82088,NA,15503,14680,10715,21.9,5.5,21.4,5.3,0,NA,NA,"2016-09",Sep 2016,2462640,2016-09-28,NA,"39",574616,"2016",NA,NA,NA
"296","FHV - Livery",83283,NA,16226,15422,10916,21.9,5.5,21.4,5.3,0,NA,NA,"2016-08",Aug 2016,2581773,2016-08-28,NA,"34",582981,"2016",NA,NA,NA
"297","FHV - Livery",85737,NA,16492,15435,10851,21.8,5.6,21.1,5.4,0,NA,NA,"2016-07",Jul 2016,2657847,2016-07-28,NA,"30",600159,"2016",NA,NA,NA
"298","FHV - Livery",96337,NA,17481,16512,12114,22,5.6,21.5,5.5,0,NA,NA,"2016-06",Jun 2016,2890110,2016-06-28,NA,"26",674359,"2016",NA,NA,NA
"299","FHV - Livery",100070,NA,21928,16951,12374,22.6,5.7,18.3,5.4,0,NA,NA,"2016-05",May 2016,3102170,2016-05-28,NA,"21",700490,"2016",NA,NA,NA
"300","FHV - Livery",101203,NA,18275,17192,12538,21.9,5.7,21.3,5.5,0,NA,NA,"2016-04",Apr 2016,3036090,2016-04-28,NA,"17",708421,"2016",NA,NA,NA
"301","FHV - Livery",95707,NA,16805,15852,11562,22.6,5.8,22.2,5.6,0,NA,NA,"2016-03",Mar 2016,2966917,2016-03-28,NA,"13",669949,"2016",NA,NA,NA
"302","FHV - Livery",98897,NA,17135,16039,11676,21.1,5.8,20.6,5.6,0,NA,NA,"2016-02",Feb 2016,2868013,2016-02-28,NA,"08",692279,"2016",NA,NA,NA
"303","FHV - Livery",89661,NA,19667,18782,11958,19.7,5.3,19.4,5.1,0,NA,NA,"2016-01",Jan 2016,2779491,2016-01-28,NA,"04",627627,"2016",NA,NA,NA
"304","FHV - Livery",97134,NA,17652,16698,12283,22.8,5.7,22.3,5.5,0,NA,NA,"2015-12",Dec 2015,3011154,2015-12-28,NA,"52",679938,"2015",NA,NA,NA
"305","FHV - Livery",93451,NA,17933,16777,12166,21.8,5.5,21.4,5.3,0,NA,NA,"2015-11",Nov 2015,2803530,2015-11-28,NA,"47",654157,"2015",NA,NA,NA
"306","FHV - Livery",91468,NA,17790,16712,11834,22,5.6,21.6,5.3,0,NA,NA,"2015-10",Oct 2015,2835508,2015-10-28,NA,"43",640276,"2015",NA,NA,NA
"307","FHV - Livery",60764,NA,11595,10792,7851,21.8,5.6,21,5.4,0,NA,NA,"2015-09",Sep 2015,1822920,2015-09-28,NA,"39",425348,"2015",NA,NA,NA
"308","FHV - Livery",34450,NA,7141,6327,4379,21.5,5.7,19.9,5.4,0,NA,NA,"2015-08",Aug 2015,1067950,2015-08-28,NA,"34",241150,"2015",NA,NA,NA
"309","FHV - Livery",18526,NA,4306,3815,2365,19.2,5.7,17.9,5.4,0,NA,NA,"2015-07",Jul 2015,574306,2015-07-28,NA,"30",129682,"2015",NA,NA,NA
"310","FHV - Livery",25626,NA,4800,4281,3008,21.1,5.8,19.5,5.6,0,NA,NA,"2015-06",Jun 2015,768780,2015-06-28,NA,"25",179382,"2015",NA,NA,NA
"311","FHV - Livery",31153,NA,6540,5779,3836,20.6,5.6,19,5.4,0,NA,NA,"2015-05",May 2015,965743,2015-05-28,NA,"21",218071,"2015",NA,NA,NA
"312","FHV - Livery",33619,NA,7121,6416,4530,21.2,5.4,20,5.2,0,NA,NA,"2015-04",Apr 2015,1008570,2015-04-28,NA,"17",235333,"2015",NA,NA,NA
"313","FHV - Livery",25025,NA,4275,4087,3052,23.2,5.6,23,5.4,0,NA,NA,"2015-03",Mar 2015,775775,2015-03-28,NA,"12",175175,"2015",NA,NA,NA
"314","FHV - Livery",23250,NA,4227,3971,2901,20.5,5.4,20.2,5.2,0,NA,NA,"2015-02",Feb 2015,651000,2015-02-28,NA,"08",162750,"2015",NA,NA,NA
"315","FHV - Livery",20740,NA,4526,4181,2848,21.1,5.2,20.5,5,0,NA,NA,"2015-01",Jan 2015,642940,2015-01-28,NA,"04",145180,"2015",NA,NA,NA
"316","FHV - Lux Limo",1581,NA,1963,1888,725,11.5,2.1,11.4,2.1,65,NA,NA,"2023-09",Sep 2023,47430,2023-09-28,NA,"39",11067,"2023",NA,NA,NA
"317","FHV - Lux Limo",1324,NA,1873,1789,676,11.7,1.9,11.5,1.9,74,NA,NA,"2023-08",Aug 2023,41044,2023-08-28,NA,"35",9268,"2023",NA,NA,NA
"318","FHV - Lux Limo",959,NA,1556,1549,515,10.3,1.9,10.5,1.8,71,NA,NA,"2023-07",Jul 2023,29729,2023-07-28,NA,"30",6713,"2023",NA,NA,NA
"319","FHV - Lux Limo",1245,NA,1625,1569,606,11.6,2,11.5,2,70,NA,NA,"2023-06",Jun 2023,37350,2023-06-28,NA,"26",8715,"2023",NA,NA,NA
"320","FHV - Lux Limo",1544,NA,1622,1622,631,12.1,2.3,12.4,2.2,64,NA,NA,"2023-05",May 2023,47864,2023-05-28,NA,"21",10808,"2023",NA,NA,NA
"321","FHV - Lux Limo",1201,NA,1577,1548,583,11.3,2,11.3,2,68,NA,NA,"2023-04",Apr 2023,36030,2023-04-28,NA,"17",8407,"2023",NA,NA,NA
"322","FHV - Lux Limo",1325,NA,1582,1560,640,12.7,2.1,12.9,2,66,NA,NA,"2023-03",Mar 2023,41075,2023-03-28,NA,"13",9275,"2023",NA,NA,NA
"323","FHV - Lux Limo",1192,NA,1466,1424,564,11.1,2.1,11.1,2,64,NA,NA,"2023-02",Feb 2023,33376,2023-02-28,NA,"09",8344,"2023",NA,NA,NA
"324","FHV - Lux Limo",1075,NA,1514,1482,540,11.3,2,11.4,1.9,63,NA,NA,"2023-01",Jan 2023,33325,2023-01-28,NA,"04",7525,"2023",NA,NA,NA
"325","FHV - Lux Limo",1120,NA,1712,1656,544,10.2,2,10.1,2,69,NA,NA,"2022-12",Dec 2022,34720,2022-12-28,NA,"52",7840,"2022",NA,NA,NA
"326","FHV - Lux Limo",1303,NA,1648,1611,616,11.5,2.1,11.4,2.1,69,NA,NA,"2022-11",Nov 2022,39090,2022-11-28,NA,"48",9121,"2022",NA,NA,NA
"327","FHV - Lux Limo",1428,NA,1729,1650,647,12.2,2.2,12,2.1,69,NA,NA,"2022-10",Oct 2022,44268,2022-10-28,NA,"43",9996,"2022",NA,NA,NA
"328","FHV - Lux Limo",1384,NA,1749,1664,630,11.4,2.2,11.1,2.1,72,NA,NA,"2022-09",Sep 2022,41520,2022-09-28,NA,"39",9688,"2022",NA,NA,NA
"329","FHV - Lux Limo",986,NA,1367,1305,493,11.7,2,11.5,1.9,69,NA,NA,"2022-08",Aug 2022,30566,2022-08-28,NA,"34",6902,"2022",NA,NA,NA
"330","FHV - Lux Limo",1041,NA,1562,1513,526,10.8,2,10.5,1.9,69,NA,NA,"2022-07",Jul 2022,32271,2022-07-28,NA,"30",7287,"2022",NA,NA,NA
"331","FHV - Lux Limo",1253,NA,1639,1551,597,11.5,2.1,11.3,2,72,NA,NA,"2022-06",Jun 2022,37590,2022-06-28,NA,"26",8771,"2022",NA,NA,NA
"332","FHV - Lux Limo",1265,NA,1571,1526,577,11.7,2.2,11.7,2.1,69,NA,NA,"2022-05",May 2022,39215,2022-05-28,NA,"21",8855,"2022",NA,NA,NA
"333","FHV - Lux Limo",1451,NA,1610,1552,638,12.3,2.3,12.2,2.2,67,NA,NA,"2022-04",Apr 2022,43530,2022-04-28,NA,"17",10157,"2022",NA,NA,NA
"334","FHV - Lux Limo",1405,NA,1501,1445,627,13.5,2.2,13.4,2.2,65,NA,NA,"2022-03",Mar 2022,43555,2022-03-28,NA,"13",9835,"2022",NA,NA,NA
"335","FHV - Lux Limo",1267,NA,1473,1416,597,11.8,2.1,11.6,2.1,64,NA,NA,"2022-02",Feb 2022,35476,2022-02-28,NA,"09",8869,"2022",NA,NA,NA
"336","FHV - Lux Limo",763,NA,1243,1206,407,10.5,1.9,10.5,1.8,61,NA,NA,"2022-01",Jan 2022,23653,2022-01-28,NA,"04",5341,"2022",NA,NA,NA
"337","FHV - Lux Limo",1099,NA,1516,1447,510,10.9,2.1,10.7,2.1,67,NA,NA,"2021-12",Dec 2021,34069,2021-12-28,NA,"52",7693,"2021",NA,NA,NA
"338","FHV - Lux Limo",1376,NA,1537,1455,603,12.4,2.3,12.2,2.2,68,NA,NA,"2021-11",Nov 2021,41280,2021-11-28,NA,"47",9632,"2021",NA,NA,NA
"339","FHV - Lux Limo",1203,NA,1452,1395,554,12.3,2.1,11.9,2.1,69,NA,NA,"2021-10",Oct 2021,37293,2021-10-28,NA,"43",8421,"2021",NA,NA,NA
"340","FHV - Lux Limo",1052,NA,1396,1321,496,11.3,2.1,10.9,2,73,NA,NA,"2021-09",Sep 2021,31560,2021-09-28,NA,"39",7364,"2021",NA,NA,NA
"341","FHV - Lux Limo",740,NA,1157,1115,381,10.6,1.9,10.4,1.9,72,NA,NA,"2021-08",Aug 2021,22940,2021-08-28,NA,"34",5180,"2021",NA,NA,NA
"342","FHV - Lux Limo",734,NA,1213,1195,380,9.9,1.9,9.8,1.9,71,NA,NA,"2021-07",Jul 2021,22754,2021-07-28,NA,"30",5138,"2021",NA,NA,NA
"343","FHV - Lux Limo",932,NA,1190,1161,440,11.4,2.1,11.3,2.1,71,NA,NA,"2021-06",Jun 2021,27960,2021-06-28,NA,"26",6524,"2021",NA,NA,NA
"344","FHV - Lux Limo",742,NA,984,928,350,11.7,2.1,11.2,2.1,67,NA,NA,"2021-05",May 2021,23002,2021-05-28,NA,"21",5194,"2021",NA,NA,NA
