barrels08,barrelsA08,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,cylinders,displ,drive,engId,eng_dscr,feScore,fuelCost08,fuelCostA08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,make,model,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,VClass,year,youSaveSpend,baseModel,tCharger,atvType,fuelType2,rangeA,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr,createdOn,modifiedOn,startStop,phevCity,phevHwy,phevComb
11.9004,0.0,0.0,22,21.6093,0,0.0,0.0,0.0,0.0,-1,-1,0.0,355.48,25,24.9951,0,0.0,0.0,4.0,2.5,Front-Wheel Drive,75,,-1,2100,0,Regular,Regular Gasoline,-1,-1,31,30.9153,0,0.0,0.0,0.0,0.0,0,0,31389,0,16,Ford,Fusion S FWD,Y,False,0,100,0,0.0,0.0,0.0,0.0,Manual 6-spd,27.5,0.0,44.4,0.0,Midsize Cars,2012,-1250,Fusion,,,,,,FMX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,,0,0,0
11.442692307692308,0.0,0.0,23,22.6786,0,0.0,0.0,0.0,0.0,-1,-1,0.0,341.8076923076923,26,26.1305,0,0.0,0.0,4.0,2.5,Front-Wheel Drive,78,,-1,2000,0,Regular,Regular Gasoline,-1,-1,32,32.1028,0,0.0,0.0,0.0,0.0,0,0,31390,0,16,Ford,Fusion FWD,Y,False,0,100,0,0.0,0.0,0.0,0.0,Automatic 6-spd,29.0,0.0,46.3,0.0,Midsize Cars,2012,-750,Fusion,,,,,,FMX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,,0,0,0
12.39625,0.0,0.0,22,21.5352,0,0.0,0.0,0.0,0.0,-1,-1,0.0,370.2916666666667,24,24.4815,0,0.0,0.0,4.0,2.5,Front-Wheel Drive,79,,-1,2150,0,Regular,Regular Gasoline,-1,-1,29,29.3972,0,0.0,0.0,0.0,0.0,0,0,31391,0,16,Ford,Fusion FWD,Y,False,0,100,0,0.0,0.0,0.0,0.0,Automatic (S6),27.3967,0.0,41.994,0.0,Midsize Cars,2012,-1500,Fusion,,,,,,FMX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,,0,0,0
14.167142857142858,0.0,0.0,18,17.8951,0,0.0,0.0,0.0,0.0,-1,-1,0.0,423.1904761904762,21,20.9805,0,0.0,0.0,6.0,3.5,Front-Wheel Drive,80,,-1,2500,0,Regular,Regular Gasoline,-1,-1,27,26.5822,0,0.0,0.0,0.0,0.0,0,0,31392,0,16,Ford,Fusion FWD,Y,False,0,100,0,0.0,0.0,0.0,0.0,Automatic (S6),22.4,0.0,37.6,0.0,Midsize Cars,2012,-3250,Fusion,,,,,,FMX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,,0,0,0
12.935217391304349,3.991875,0.0,20,19.5853,14,13.8762,0.0,0.0,0.0,-1,-1,393.4375,386.39130434782606,23,22.6288,16,16.1903,0.0,6.0,3.0,Front-Wheel Drive,81,FFV,-1,2250,2750,Gasoline or E85,Regular Gasoline,-1,-1,28,27.9345,20,20.3352,0.0,0.0,0.0,0,0,31393,0,16,Ford,Fusion FWD FFV,Y,False,0,101,0,0.0,0.0,0.0,0.0,Automatic (S6),24.7,17.5,39.7,28.9,Midsize Cars,2012,-2000,Fusion,,FFV,E85,264,,FMX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,,0,0,0
15.65842105263158,0.0,0.0,17,16.5957,0,0.0,0.0,0.0,0.0,-1,-1,0.0,467.7368421052632,19,19.3874,0,0.0,0.0,6.0,3.5,All-Wheel Drive,76,,-1,2750,0,Regular,Regular Gasoline,-1,-1,24,24.4052,0,0.0,0.0,0.0,0.0,0,0,31394,0,16,Lincoln,MKZ AWD,N,False,0,99,0,0.0,0.0,0.0,0.0,Automatic (S6),20.655,0.0,34.2607,0.0,Midsize Cars,2012,-4500,MKZ,,,,,,FMX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,,0,0,0
7.82921052631579,0.0,0.0,41,40.6112,0,0.0,0.0,0.0,0.0,-1,-1,0.0,233.8684210526316,38,38.0688,0,0.0,0.0,4.0,2.5,Front-Wheel Drive,77,,-1,1350,0,Regular,Regular Gasoline,-1,-1,35,35.3629,0,0.0,0.0,0.0,0.0,0,0,31395,0,11,Lincoln,MKZ Hybrid FWD,Y,False,0,99,0,0.0,0.0,0.0,0.0,Automatic (variable gear ratios),56.5,0.0,51.6,0.0,Midsize Cars,2012,2500,MKZ,,Hybrid,,,275V Ni-MH,FMX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jun 02 00:00:00 EDT 2020,Y,0,0,0
14.167142857142858,0.0,0.0,18,17.8951,0,0.0,0.0,0.0,0.0,-1,-1,0.0,423.1904761904762,21,20.9805,0,0.0,0.0,6.0,3.5,Front-Wheel Drive,82,,-1,2500,0,Regular,Regular Gasoline,-1,-1,27,26.5822,0,0.0,0.0,0.0,0.0,0,0,31396,0,16,Lincoln,MKZ FWD,N,False,0,99,0,0.0,0.0,0.0,0.0,Automatic (S6),22.4,0.0,37.6,0.0,Midsize Cars,2012,-3250,MKZ,,,,,,FMX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,,0,0,0
11.442692307692308,0.0,0.0,23,23.1654,0,0.0,0.0,0.0,0.0,-1,-1,0.0,341.8076923076923,26,26.3647,0,0.0,0.0,4.0,2.5,Front-Wheel Drive,23,,-1,2000,0,Regular,Regular Gasoline,-1,-1,32,31.7188,0,0.0,0.0,0.0,0.0,0,0,31401,0,15,Nissan,Altima,Y,False,0,101,0,0.0,0.0,0.0,0.0,Automatic (AV-S6),29.6877,0.0,45.6839,0.0,Midsize Cars,2012,-750,Altima,,,,,,NSX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Wed Apr 05 00:00:00 EDT 2017,,0,0,0
13.52318181818182,0.0,0.0,20,19.8948,0,0.0,0.0,0.0,0.0,-1,-1,0.0,403.95454545454544,22,22.4094,0,0.0,0.0,6.0,3.5,Front-Wheel Drive,41,,-1,2350,0,Regular,Regular Gasoline,-1,-1,27,26.5038,0,0.0,0.0,0.0,0.0,0,0,31402,0,15,Nissan,Altima,Y,False,0,101,0,0.0,0.0,0.0,0.0,Automatic (AV-S6),25.1249,0.0,37.4789,0.0,Midsize Cars,2012,-2500,Altima,,,,,,NSX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Wed Apr 05 00:00:00 EDT 2017,,0,0,0
